latitude,longitude
28.6527177,77.2333335
28.6530162,77.2339807
28.6531622,77.2347163
28.6546423,77.2333873
28.6553845,77.233493
28.6561041,77.2335499
28.6560437,77.234775
28.6527347,77.2346973
28.6560109,77.2354413
28.6569296,77.2352937
28.6567983,77.2353148
28.6570721,77.2352708
28.6566452,77.2353394
28.6564997,77.2353628
28.6561087,77.2354256
28.652016,77.2311869
28.6531818,77.2321005
28.6527398,77.2331781
28.6553221,77.2339061
28.655443,77.2343919
28.6557185,77.2343243
28.6557963,77.2335233
28.6535328,77.2337481
28.653767,77.2343248
28.6537555,77.2347615
28.6544693,77.2341093
28.6542861,77.2345682
28.6542361,77.2347919
28.652667,77.2312557
28.6538357,77.2324162
28.6535729,77.2298496
28.6539507,77.2301822
28.6520701,77.2293584
28.6533176,77.229669
28.6536547,77.2336853
28.6519156,77.2319468
28.6522791,77.2328573
28.6524114,77.23196
28.6529621,77.2325931
28.6529717,77.2319698
28.6530753,77.2317308
28.653359,77.2321907
28.653461,77.2319126
28.6534801,77.2317485
28.653682,77.2318243
28.6537261,77.2312155
28.6537217,77.2323659
28.6538828,77.2319103
28.6538625,77.2327706
28.6538059,77.2321277
28.6539549,77.2324618
28.654661,77.2337419
28.6565744,77.2342652
28.6561681,77.2342614
28.6533556,77.2307424
28.6535088,77.2312206
28.6529725,77.2312975
28.652703,77.2310001
28.6530451,77.2311643
28.6527319,77.2304341
28.6529194,77.2305443
28.6531752,77.2309692
28.6535748,77.2304303
28.6519819,77.2314778
28.6543035,77.2306169
28.6542721,77.2312308
28.6524982,77.2323517
28.6516737,77.2346533
28.6547279,77.2347819
28.655415,77.2347778
28.6522518,77.2333256
28.6519704,77.2326605
28.6553767,77.2355464
28.6556797,77.2347746
28.6519218,77.2294505
28.6519061,77.2293452
28.6518575,77.2323973
28.6521991,77.2294618
28.6561416,77.2347815
28.6562033,77.2335542
28.6551754,77.2317861
28.6558227,77.2303809
28.655697,77.2299775
28.6562459,77.2306697
28.6549655,77.2308241
28.6548186,77.2328613
28.6544787,77.2307585
28.6548973,77.2301771
28.6544845,77.2294209
28.6546864,77.2298245
28.6544173,77.2309311
28.6548404,77.2311044
28.6562834,77.2299082
28.6556552,77.2298629
28.6552766,77.2298004
28.6546442,77.2323197
28.6549898,77.2324619
28.6555204,77.2309954
28.6554092,77.2312558
28.655607,77.2308431
28.6550944,77.2305405
28.6558297,77.2328347
28.6544212,77.2299296
28.655031,77.2322782
28.6560563,77.2328479
28.6549441,77.2325739
28.6558276,77.2327564
28.656394,77.2297289
28.6562924,77.2297261
