latitude,longitude
28.6559796,77.23685
28.6559234,77.2378254
28.6585957,77.235026
28.658451,77.236415
28.6582961,77.2350741
28.6583014,77.236441
28.6581605,77.2350959
28.658161,77.2364801
28.658587,77.236391
28.65844,77.235051
28.6600386,77.2361136
28.6603873,77.2361237
28.6602182,77.2381639
28.6572549,77.2369218
28.6595381,77.2363422
28.6606303,77.2361157
28.6605713,77.2358309
28.6600299,77.2362971
28.6601383,77.2360702
28.6604336,77.2381042
28.6599988,77.2369479
28.6601298,77.2362486
28.660344,77.2359804
28.6600578,77.23563
28.660107,77.2367277
28.6604287,77.2382903
28.6586757,77.2368952
28.6594598,77.2365738
28.6601679,77.2354479
28.6543659,77.2372286
28.6544603,77.2368492
28.6571529,77.2378602
28.6571808,77.2375503
28.6551612,77.2373389
28.6544497,77.23715
28.6564951,77.2374734
28.6543918,77.2382673
28.6548459,77.2372698
28.6544208,77.2376866
28.6531769,77.2372008
28.653447,77.2371727
28.6586706,77.2349102
28.6545017,77.2366345
28.6559469,77.2374178
28.6568723,77.2393167
28.6581443,77.2344744
28.6583891,77.2344625
28.6587289,77.2371923
28.6558808,77.2392552
28.658934,77.2384787
28.657902,77.2372636
28.6577996,77.2369528
28.66008,77.2344412
28.6600534,77.2357399
28.6600114,77.2358559
28.6601177,77.2344551
28.6601545,77.235743
28.6598491,77.2343561
28.6600833,77.2343111
28.6592047,77.2365004
28.6599659,77.237744
28.6587429,77.2363949
28.6596803,77.2342885
28.6597354,77.2332215
28.6586164,77.2343595
28.6587978,77.2366864
28.6545211,77.237243
28.654439,77.2373261
28.6537591,77.2371685
28.6595178,77.2382069
28.6598525,77.2360354
28.6599706,77.2363871
28.6598992,77.2361744
28.6599529,77.2363345
28.6598792,77.236115
28.6561041,77.2335499
28.6600173,77.2315392
28.6580843,77.2336291
28.6580696,77.2334497
28.6578543,77.2336562
28.6571938,77.2337284
28.6569687,77.233281
28.6580008,77.2332336
28.6577879,77.2332791
28.6571715,77.2333184
28.6578199,77.2336603
28.6571986,77.2338033
28.6589069,77.2329206
28.6585082,77.2333543
28.6589015,77.2333229
28.6589034,77.2333715
28.6588944,77.2331426
28.6593315,77.233103
28.6595031,77.2332411
28.6593453,77.2331733
28.6585657,77.2338438
28.658456,77.2328856
28.6587397,77.2338292
28.6586914,77.2333397
28.6586563,77.2328822
28.6593487,77.2316494
28.6593909,77.232627
28.6583756,77.2338848
28.6582871,77.2330388
28.6575766,77.2332949
28.6562033,77.2335542
28.6560437,77.234775
28.6560109,77.2354413
28.6580094,77.2364795
28.6578093,77.2351524
28.6573268,77.2362019
28.6576958,77.2361395
28.6575163,77.236163
28.657177,77.2362166
28.6577164,77.2363963
28.6575823,77.2351888
28.6574557,77.2352092
28.6580081,77.2351204
28.6568838,77.2364681
28.6569296,77.2352937
28.6567358,77.2364725
28.6567983,77.2353148
28.6570256,77.2364513
28.6570721,77.2352708
28.6571691,77.2364205
28.6572177,77.2352474
28.6578693,77.2364379
28.6577414,77.2351633
28.6566452,77.2353394
28.6564997,77.2353628
28.6559454,77.2366185
28.6560501,77.2366304
28.6561087,77.2354256
28.6579471,77.2344938
28.6576841,77.2345191
28.6572671,77.2345641
28.6573425,77.2352274
28.6572391,77.2343186
28.6574473,77.2343116
28.6572069,77.2339607
28.6565744,77.2342652
28.6561681,77.2342614
28.6547279,77.2347819
28.655415,77.2347778
28.6553588,77.2364053
28.6553767,77.2355464
28.6556797,77.2347746
28.6546421,77.2364693
28.6562967,77.2364549
28.6566256,77.2359949
28.6567626,77.236001
28.6569028,77.2360123
28.6570437,77.236023
28.6571854,77.2360292
28.6573253,77.2360338
28.6555447,77.2364135
28.6568656,77.2349744
28.6573105,77.2349289
28.6546455,77.236362
28.6561416,77.2347815
